"id","restriction_import","document_import","id_importfee_id","document_import_en","restriction_import_en"
"1485","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","55169200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1486",,"مستودع أومحل + 2 عامل","56012100","Warehouse or shop + 2 workers",
"1487","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56012200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1488",,"مستودع أومحل + 2 عامل","56012900","Warehouse or shop + 2 workers",
"1489","شريطة ألا تحتوي على موكيت أو منتجات جاهزة للنظافة الشخصية، وألا تحتوي على مواد ليست أولية للصناعة أو لا تستخدم في صناعة الألبسة أو صناعة السجاد والموكيت أو إنتاج الفوط وأصناف الاستعمال الصحي وما شابه. ولا تحتوي على أقمشة ستائر ومفروشات لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات","مستودع أومحل + 2 عامل + منشأة صناعية","56021000","Warehouse or shop + 2 workers + industrial facility","Provided that it does not contain carpeting or ready-made products for personal hygiene, and does not contain materials that are not raw materials for industry or are not used in the manufacture of clothing, the manufacture of carpets and rugs, or the production of towels, sanitary products, and the like. It does not contain curtain fabrics and furnishings for an existing industrial facility that operates only under an allotment book"
"1490","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56031100","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1491","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56031200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1492","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56031300","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1493","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56031400","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1494","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56039100","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1495","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56039200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1496","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56039300","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1497","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","56039400","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1498",,"مستودع أومحل + 2 عامل","56041000","Warehouse or shop + 2 workers",
"1499",,"مستودع أومحل + 2 عامل","56049000","Warehouse or shop + 2 workers",
"1500",,"مستودع أومحل + 2 عامل","56050000","Warehouse or shop + 2 workers",
"1501",,"مستودع أومحل + 2 عامل","56060000","Warehouse or shop + 2 workers",
"1502",,"مستودع أومحل + 2 عامل","56072100","Warehouse or shop + 2 workers",
"1503",,"مستودع أومحل + 2 عامل","56072900","Warehouse or shop + 2 workers",
"1504",,"مستودع أومحل + 2 عامل","56074100","Warehouse or shop + 2 workers",
"1505",,"مستودع أومحل + 2 عامل","56075000","Warehouse or shop + 2 workers",
"1506",,"مستودع أومحل + 2 عامل","56079000","Warehouse or shop + 2 workers",
"1507",,"مستودع أومحل + 2 عامل","56081100","Warehouse or shop + 2 workers",
"1508",,"مستودع أومحل + 2 عامل","56090000","Warehouse or shop + 2 workers",
"1509","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58011000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1510","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58012100","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1511","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58012200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1512","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58013200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1513","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58019000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1514","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58021000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1515","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58022000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1516","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58041000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1517","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58042100","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1518","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58042900","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1519","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58043000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1520","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58061000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1521","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58062000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1522",,"مستودع أومحل + 2 عامل","58063100","Warehouse or shop + 2 workers",
"1523",,"مستودع أومحل + 2 عامل","58063200","Warehouse or shop + 2 workers",
"1524","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58063900","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1525","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58064000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1526",,"مستودع أومحل + 2 عامل","58071000","Warehouse or shop + 2 workers",
"1527",,"مستودع أومحل + 2 عامل","58079000","Warehouse or shop + 2 workers",
"1528",,"مستودع أومحل + 2 عامل","58081000","Warehouse or shop + 2 workers",
"1529",,"مستودع أومحل + 2 عامل","58089000","Warehouse or shop + 2 workers",
"1530","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58090000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1531",,"مستودع أومحل + 2 عامل","58101000","Warehouse or shop + 2 workers",
"1532","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58109100","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1533","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58109200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1534",,"مستودع أومحل + 2 عامل","58109900","Warehouse or shop + 2 workers",
"1535","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","58110000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1536","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59011000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1537","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59019000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1538",,"مستودع أومحل + 2 عامل","59022000","Warehouse or shop + 2 workers",
"1539","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59031000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1540","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59032000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1541","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر أو أن تكون لمنشأة صناعية تعمل بصناعة القوارب واليخوت","مستودع أومحل + 2 عامل","59039000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes, or that it is for an industrial facility that manufactures boats and yachts."
"1542",,"مستودع أومحل + 2 عامل","59061000","Warehouse or shop + 2 workers",
"1543","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59069100","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1544","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59069900","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1545","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59070000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1546",,"مستودع أومحل + 2 عامل","59090000","Warehouse or shop + 2 workers",
"1547",,"مستودع أومحل + 2 عامل","59100000","Warehouse or shop + 2 workers",
"1548","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59111000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1549","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59112000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1550","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59113100","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1551","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59113200","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1552","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59114000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1553","شريطة ألا تحتوي على أقمشة ستائر ومفروشات ولا تحتوي على أقمشة مصنرة من كافة البنود والنمر","مستودع أومحل + 2 عامل","59119000","Warehouse or shop + 2 workers","Provided that it does not contain curtain and upholstery fabrics and does not contain knitted fabrics of all types and sizes"
"1554","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60011000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1555","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60012100","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1556","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60012200","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1557","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60012900","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1558","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60019100","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1559","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60019200","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1560","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60019900","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1561","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60024000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1562","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60029000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1563","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60033000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1564","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60041000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1565","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60049000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1566","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60052100","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1567","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60052200","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1568","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60052300","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1569","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60052400","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1570","شريطة أن يكون الوصف التجاري: أقمشة مصنرة و شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60053900","Warehouse or shop + 2 workers","Provided that the commercial description is: knitted fabrics and provided that it does not contain curtain and upholstery fabrics"
"1571","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60054100","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1572","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60054200","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1573","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60054400","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1574","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60059000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1575","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60061000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1576","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60062100","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1577","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60062200","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1578","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60062300","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1579","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60062400","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1580","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60063100","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1581","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60063200","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1582","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60063300","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1583","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60063400","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1584","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60064200","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1585","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60064300","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1586","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60064400","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1587","شريطة ألا تحتوي على أقمشة ستائر ومفروشات","مستودع أومحل + 2 عامل","60069000","Warehouse or shop + 2 workers","Provided that it does not contain curtain fabrics and furnishings"
"1588",,"مستودع أومحل + 2 عامل","61151000","Warehouse or shop + 2 workers",
"1589","سترات وأحزمة أمان","مستودع أومحل + 2 عامل","63072000","Warehouse or shop + 2 workers","Safety vests and belts"
"1590","شريطة أن تكون للاستعمال لمرة واحدة وللاستخدام الطبي حصراً ","مستودع أومحل + 2 عامل","63079000","Warehouse or shop + 2 workers","Provided that it is for single use and exclusively for medical use"
"1591",,"مستودع أومحل + 2 عامل","64061000","Warehouse or shop + 2 workers",
"1592","شريطة أن يكون الوصف التجاري:  ضبانات واكسسوارات واجزاء احذية عدا الكعوب والنعال حصراً","مستودع أومحل + 2 عامل","64069000","Warehouse or shop + 2 workers","Provided that the commercial description is: insoles, accessories, and shoe parts, except heels and insoles exclusively."
"1593","واقي رأس للمهندسين والعمال","مستودع أومحل + 2 عامل","65061000","Warehouse or shop + 2 workers","Head protector for engineers and workers"
"1594",,"مستودع أومحل + 2 عامل","68041000","Warehouse or shop + 2 workers",
"1595",,"مستودع أومحل + 2 عامل","68042100","Warehouse or shop + 2 workers",
"1596",,"مستودع أومحل + 2 عامل","68042200","Warehouse or shop + 2 workers",
"1597",,"مستودع أومحل + 2 عامل","68042300","Warehouse or shop + 2 workers",
"1598",,"مستودع أومحل + 2 عامل","68043000","Warehouse or shop + 2 workers",
"1599",,"مستودع أومحل + 2 عامل","68051000","Warehouse or shop + 2 workers",
"1600",,"مستودع أومحل + 2 عامل","68052000","Warehouse or shop + 2 workers",
"1601",,"مستودع أومحل + 2 عامل","68053000","Warehouse or shop + 2 workers",
"1602",,"مستودع أومحل + 2 عامل","68061000","Warehouse or shop + 2 workers",
"1603",,"مستودع أومحل + 2 عامل","68062000","Warehouse or shop + 2 workers",
"1604",,"مستودع أومحل + 2 عامل","68069000","Warehouse or shop + 2 workers",
"1605",,"مستودع أومحل + 2 عامل","68071000","Warehouse or shop + 2 workers",
"1606",,"مستودع أومحل + 2 عامل","68079000","Warehouse or shop + 2 workers",
"1607","شريطة أن لايحتوي على سيراميك أو غرانيت أو رخام","مستودع أومحل + 2 عامل","68080000","Warehouse or shop + 2 workers","Provided that it does not contain ceramic, granite or marble"
"1608",,"مستودع أومحل + 2 عامل","68099010","Warehouse or shop + 2 workers",
"1609",,"مستودع أومحل + 2 عامل","68129900","Warehouse or shop + 2 workers",
"1610",,"مستودع أومحل + 2 عامل","68132000","Warehouse or shop + 2 workers",
"1611",,"مستودع أومحل + 2 عامل","68138100","Warehouse or shop + 2 workers",
"1612",,"مستودع أومحل + 2 عامل","68138900","Warehouse or shop + 2 workers",
"1613",,"مستودع أومحل + 2 عامل","68141000","Warehouse or shop + 2 workers",
"1614","شريطة أن يكون الوصف التجاري آجر حراري","مستودع أومحل + 2 عامل","69010000","Warehouse or shop + 2 workers","Provided that the commercial description is refractory bricks"
"1615","شريطة أن يكون الوصف التجاري آجر حراري","مستودع أومحل + 2 عامل","69021000","Warehouse or shop + 2 workers","Provided that the commercial description is refractory bricks"
"1616","شريطة أن يكون الوصف التجاري آجر حراري أو ألواح تاندش","مستودع أومحل + 2 عامل","69022000","Warehouse or shop + 2 workers","Provided that the commercial description is thermal bricks or tandhish panels"
"1617","شريطة أن يكون الوصف التجاري آجر حراري","مستودع أومحل + 2 عامل","69029000","Warehouse or shop + 2 workers","Provided that the commercial description is refractory bricks"
"1618",,"مستودع أومحل + 2 عامل","69031000","Warehouse or shop + 2 workers",
"1619",,"مستودع أومحل + 2 عامل","69032000","Warehouse or shop + 2 workers",
"1620",,"مستودع أومحل + 2 عامل","69039000","Warehouse or shop + 2 workers",
"1621","شريطة أن لا تحتوي على كتل وألواح رخام","مستودع أومحل + 2 عامل","69072100","Warehouse or shop + 2 workers","Provided that it does not contain marble blocks and slabs"
"1622","شريطة أن لا تحتوي على كتل وألواح رخام","مستودع أومحل + 2 عامل","69072200","Warehouse or shop + 2 workers","Provided that it does not contain marble blocks and slabs"
"1623","شريطة أن لا تحتوي على كتل وألواح رخام","مستودع أومحل + 2 عامل","69072300","Warehouse or shop + 2 workers","Provided that it does not contain marble blocks and slabs"
"1624","شريطة أن لا تحتوي على كتل وألواح رخام","مستودع أومحل + 2 عامل","69073000","Warehouse or shop + 2 workers","Provided that it does not contain marble blocks and slabs"
"1625","شريطة أن لا تحتوي على كتل وألواح رخام","مستودع أومحل + 2 عامل","69074000","Warehouse or shop + 2 workers","Provided that it does not contain marble blocks and slabs"
"1626",,"مستودع أومحل + 2 عامل","69091100","Warehouse or shop + 2 workers",
"1627",,"مستودع أومحل + 2 عامل","69091900","Warehouse or shop + 2 workers",
"1628","شريطة أن تكون لمنشأة صناعية تعمل بصناعة القوارب واليخوت","مستودع أومحل + 2 عامل + منشأة صناعية","69101000","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an industrial facility that manufactures boats and yachts"
"1629",,"مستودع أومحل + 2 عامل","69149010","Warehouse or shop + 2 workers",
"1630"," شريطة أن يكون  لمنشأة صناعية قائمة ومنتجة ووردت المادة ضمن كتاب المخصصات الصادر عن وزارة الصناعة.","مستودع أومحل + 2 عامل + منشأة صناعية","70010000","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing and productive industrial facility and the article is included in the allocations book issued by the Ministry of Industry."
"1631",,"مستودع أومحل + 2 عامل","70021000","Warehouse or shop + 2 workers",
"1632",,"مستودع أومحل + 2 عامل","70022000","Warehouse or shop + 2 workers",
"1633",,"مستودع أومحل + 2 عامل","70023100","Warehouse or shop + 2 workers",
"1634","شريطة ان يكون الوصف التجاري أنابيب زجاجية لون شفاف","مستودع أومحل + 2 عامل + منشأة صناعية","70023200","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is transparent colored glass tubes"
"1635","شريطة ان يكون الوصف التجاري أنابيب زجاجية لون عنبر","مستودع أومحل + 2 عامل + منشأة صناعية","70023900","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is amber colored glass tubes"
"1636",,"مستودع أومحل + 2 عامل","70031200","Warehouse or shop + 2 workers",
"1637",,"مستودع أومحل + 2 عامل","70031900","Warehouse or shop + 2 workers",
"1638",,"مستودع أومحل + 2 عامل","70032000","Warehouse or shop + 2 workers",
"1639",,"مستودع أومحل + 2 عامل","70049000","Warehouse or shop + 2 workers",
"1640",,"مستودع أومحل + 2 عامل","70051000","Warehouse or shop + 2 workers",
